item;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Cow peas, dry;155000.0;178600.0;181700.0;175000.0;190000.0;200000.0;204000.0;206000.0;260000.0;285000.0;347000.0;1029243.0;1000095.0;1033615.0;1004731.0;1001314.0;1129920.0;1132730.0;1161865.0;1570735.0;1685930.0;1700700.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1648639.0
Cucumbers and gherkins;77940.0;58180.0;54100.0;68688.0;59959.0;23000.0;33697.0;23704.0;51175.0;58000.0;37730.0;345000.0;396000.0;431500.0;447000.0;456900.0;357000.0;367000.0;327000.0;365000.0;346000.0;372700.0;1820123.0;1910062.9;1493293.0;1504965.0;1604346.0;1626412.0;1686975.5;474400.0
Currants;26000.0;30200.0;30700.0;32000.0;35000.0;36000.0;36700.0;45000.0;50000.0;50000.0;60100.0;55290.0;57790.0;55890.0;36110.0;47490.0;52480.0;52264.0;35220.0;43450.0;46054.0;39039.0;372000.0;360000.0;364200.0;319800.0;398000.0;417600.0;436900.0;25947.0
Flax, processed but not spun;529260.0;467480.0;310550.0;300560.0;345999.0;279767.0;192334.0;248058.0;278769.0;232629.0;213606.0;59030.0;60500.0;64000.0;65000.0;67000.0;52000.0;54000.0;48000.0;54000.0;51000.0;55000.0;37178.0;45225.3;41240.0;38795.0;36715.0;38464.0;39262.3;79100.0
Gooseberries;68000.0;50000.0;41300.0;101570.0;122800.0;167275.0;154973.0;164978.0;178530.0;207683.0;210442.0;341108.0;308705.0;321824.0;234105.0;315031.0;267880.0;298720.0;324290.0;412381.8;266877.0;439100.0;55000.0;53300.0;60700.0;53300.0;66300.0;69600.0;72800.0;751503.4
Grapes;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;201640.0;219660.0;242445.0;240430.0;249407.0;226670.0;227271.9;213483.0;233948.0;239312.0;232843.0;528548.5;475197.0;601333.0;580077.0;627739.0;677997.0;681908.3;175286.0
Green garlic;2650.0;1600.0;240.0;1120.0;350.0;300.0;430.0;820.0;1300.0;430.0;170.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;256406.0;254876.8;202992.0;206074.0;211981.0;202064.0;189659.3;0.0
Groundnut oil;2920.0;3870.0;1570.0;2130.0;1606.0;871.0;622.0;963.0;926.0;602.0;595.0;200.0;180.0;250.0;100.0;150.0;331.0;40.0;0.0;0.0;0.0;0.0;3.0;5.0;10.2;19.2;19.88;77.0;0.38;3239.7
Hazelnuts, in shell;45000.0;45000.0;45335.82;45869.72;46759.66;47000.0;45000.0;45000.0;45000.0;46000.0;47000.0;518.0;472.0;390.0;355.0;279.0;300.0;320.0;71.0;133.0;245.0;516.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;195.7
Hempseed;7060.0;1090.0;1960.0;1440.0;2313.0;3019.0;1022.0;1663.0;2880.0;4900.0;8110.0;48000.0;50000.0;51000.0;51138.28;51317.08;50905.02;50903.55;200.0;352.0;347.0;330.0;520.2;275.3;589.0;1078.0;2117.0;2892.9;3128.1;49763.48
Hop cones;53650.0;29070.0;24030.0;31030.0;27020.0;17443.0;14254.0;19248.0;32691.0;29496.0;25525.0;11970.0;7400.0;5530.0;11746.0;2790.0;5840.0;7185.0;41349.0;51000.0;51000.0;51000.0;304.1;438.4;158.0;174.0;144.0;205.0;221.1;176131.8
Kenaf, and other textile bast fibres, raw or retted;10910.0;8090.0;12020.0;12470.0;15636.0;15503.0;14634.0;8507.0;15674.0;23674.0;27641.0;29748.0;34223.0;36676.0;78982.0;79573.0;92930.0;102620.0;5374.0;33446.0;28372.0;16625.0;50000.0;49341.13;49573.25;49849.59;49980.97;49674.9;49717.86;1300173.4
Lentils, dry;2135210.0;2441080.0;891950.0;1738440.0;1081038.0;2652012.0;799940.0;1033569.0;1489399.0;808360.0;1499425.0;20003.0;33264.0;31878.0;13519.0;16952.0;21840.0;9291.0;178213.0;437236.0;341565.0;299767.6;20203.9;25351.6;65224.0;197857.7;194726.0;116618.1;115556.4;69723.1
Linseed;560000.0;438000.0;278000.0;198000.0;200000.0;222000.0;239000.0;379000.0;462000.0;515000.0;536000.0;2030896.0;3372956.0;3060164.0;3510351.0;3798020.0;6682300.0;3963433.0;9738.0;21068.0;26361.0;38443.0;365088.2;523533.5;673338.0;611283.0;557888.0;658643.6;787922.6;15239865.1
Lupins;1535140.0;1127780.0;481534.0;487890.0;441000.0;1216462.0;450956.0;924918.0;1124260.0;550278.0;293387.0;542000.0;560000.0;642000.0;664000.0;752000.0;761516.0;692780.0;3084351.0;6962438.0;8212924.0;11634943.0;75689.6;174052.1;184689.0;161684.0;136352.0;166270.8;103791.7;368137.4
